Vector_Index,Time_Seconds,Total_Detected,Delta_Detected,Coverage_Percent,Delta_Coverage
1,0.0009,111,111,12.8472,12.8472
2,0.1227,161,50,18.6343,5.7870
3,0.2181,226,65,26.1574,7.5231
4,0.3091,238,12,27.5463,1.3889
5,0.3936,248,10,28.7037,1.1574
6,0.4754,248,0,28.7037,0.0000
7,0.5538,267,19,30.9028,2.1991
8,0.6321,306,39,35.4167,4.5139
9,0.7076,321,15,37.1528,1.7361
10,0.7811,373,52,43.1713,6.0185
11,0.8515,396,23,45.8333,2.6620
12,0.9136,426,30,49.3056,3.4722
13,0.9757,491,65,56.8287,7.5231
14,1.0328,498,7,57.6389,0.8102
15,1.0813,502,4,58.1019,0.4630
16,1.1292,522,20,60.4167,2.3148
17,1.1767,522,0,60.4167,0.0000
18,1.2232,522,0,60.4167,0.0000
19,1.2700,522,0,60.4167,0.0000
20,1.3167,522,0,60.4167,0.0000
21,1.3619,536,14,62.0370,1.6204
22,1.4079,548,12,63.4259,1.3889
23,1.4539,569,21,65.8565,2.4306
24,1.4969,575,6,66.5509,0.6944
25,1.5379,576,1,66.6667,0.1157
26,1.5755,579,3,67.0139,0.3472
27,1.6139,580,1,67.1296,0.1157
28,1.6536,617,37,71.4120,4.2824
29,1.6909,617,0,71.4120,0.0000
30,1.7243,618,1,71.5278,0.1157
31,1.7567,646,28,74.7685,3.2407
32,1.7901,677,31,78.3565,3.5880
33,1.8195,677,0,78.3565,0.0000
34,1.8452,677,0,78.3565,0.0000
35,1.8706,677,0,78.3565,0.0000
36,1.8961,698,21,80.7870,2.4306
37,1.9219,706,8,81.7130,0.9259
38,1.9446,706,0,81.7130,0.0000
39,1.9668,711,5,82.2917,0.5787
40,1.9891,712,1,82.4074,0.1157
41,2.0106,716,4,82.8704,0.4630
42,2.0315,716,0,82.8704,0.0000
43,2.0515,717,1,82.9861,0.1157
44,2.0726,717,0,82.9861,0.0000
45,2.0922,726,9,84.0278,1.0417
46,2.1120,727,1,84.1435,0.1157
47,2.1316,729,2,84.3750,0.2315
48,2.1506,732,3,84.7222,0.3472
49,2.1696,732,0,84.7222,0.0000
50,2.1873,741,9,85.7639,1.0417
51,2.2050,746,5,86.3426,0.5787
52,2.2216,748,2,86.5741,0.2315
53,2.2376,748,0,86.5741,0.0000
54,2.2554,748,0,86.5741,0.0000
55,2.2734,748,0,86.5741,0.0000
56,2.2887,748,0,86.5741,0.0000
57,2.3046,749,1,86.6898,0.1157
58,2.3196,749,0,86.6898,0.0000
59,2.3358,749,0,86.6898,0.0000
60,2.3515,749,0,86.6898,0.0000
61,2.3666,749,0,86.6898,0.0000
62,2.3819,749,0,86.6898,0.0000
63,2.3969,749,0,86.6898,0.0000
64,2.4118,749,0,86.6898,0.0000
65,2.4285,753,4,87.1528,0.4630
66,2.4437,754,1,87.2685,0.1157
67,2.4585,754,0,87.2685,0.0000
68,2.4739,757,3,87.6157,0.3472
69,2.4888,757,0,87.6157,0.0000
70,2.5038,757,0,87.6157,0.0000
71,2.5178,757,0,87.6157,0.0000
72,2.5317,760,3,87.9630,0.3472
73,2.5457,764,4,88.4259,0.4630
74,2.5601,764,0,88.4259,0.0000
75,2.5736,764,0,88.4259,0.0000
76,2.5879,764,0,88.4259,0.0000
77,2.6013,764,0,88.4259,0.0000
78,2.6147,764,0,88.4259,0.0000
79,2.6278,764,0,88.4259,0.0000
80,2.6412,764,0,88.4259,0.0000
81,2.6541,767,3,88.7731,0.3472
82,2.6681,770,3,89.1204,0.3472
83,2.6813,770,0,89.1204,0.0000
84,2.6939,770,0,89.1204,0.0000
85,2.7071,770,0,89.1204,0.0000
86,2.7200,770,0,89.1204,0.0000
87,2.7326,770,0,89.1204,0.0000
88,2.7451,770,0,89.1204,0.0000
89,2.7589,770,0,89.1204,0.0000
90,2.7718,771,1,89.2361,0.1157
91,2.7847,775,4,89.6991,0.4630
92,2.7977,775,0,89.6991,0.0000
93,2.8099,775,0,89.6991,0.0000
94,2.8219,775,0,89.6991,0.0000
95,2.8346,775,0,89.6991,0.0000
96,2.8464,776,1,89.8148,0.1157
97,2.8583,776,0,89.8148,0.0000
98,2.8697,777,1,89.9306,0.1157
99,2.8822,777,0,89.9306,0.0000
100,2.8939,777,0,89.9306,0.0000
